epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
0,9.42406,8.67263,0.75143,6.84070,6.09715,0.74355,658.6
1,6.23385,5.48174,0.75211,6.01322,5.26820,0.74503,628.9
2,5.53811,4.78777,0.75034,5.50895,4.76647,0.74248,609.8
3,5.08325,4.33493,0.74832,5.31083,4.56594,0.74489,633.6
4,4.86810,4.12120,0.74690,5.18575,4.44116,0.74458,629.6
5,4.69688,3.95051,0.74637,4.99482,4.25639,0.73843,629.7
6,4.55533,3.81064,0.74469,4.96861,4.22586,0.74275,623.9
7,4.44978,3.70611,0.74367,4.86738,4.12652,0.74086,621.1
8,4.38161,3.63895,0.74266,4.79708,4.05971,0.73737,621.7
9,4.26393,3.52096,0.74298,4.75448,4.01096,0.74352,621.1
10,4.17346,3.43158,0.74188,4.71974,3.97944,0.74029,618.8
11,4.13763,3.39440,0.74323,4.63274,3.89080,0.74194,618.2
12,4.08702,3.34432,0.74270,4.59377,3.84962,0.74415,620.6
13,4.03971,3.29839,0.74133,4.64468,3.90534,0.73934,621.8
14,3.99022,3.24870,0.74151,4.52967,3.78697,0.74270,621.9
15,3.94091,3.19983,0.74109,4.51039,3.76924,0.74114,616.9
16,3.89945,3.15770,0.74175,4.50449,3.76378,0.74071,619.3
17,3.85766,3.11758,0.74008,4.43901,3.70136,0.73766,627.8
18,3.85306,3.11212,0.74094,4.39076,3.64955,0.74121,607.9
19,3.79226,3.05182,0.74045,4.45004,3.70823,0.74181,603.8
20,3.77010,3.02883,0.74126,4.45239,3.70877,0.74362,600.7
21,3.75444,3.01306,0.74138,4.35216,3.60976,0.74240,602.7
22,3.70548,2.96533,0.74015,4.33728,3.59805,0.73922,1126.1
23,3.65786,2.91763,0.74022,4.34556,3.60924,0.73632,613.4
24,3.68144,2.94043,0.74100,4.35802,3.61890,0.73912,605.4
25,3.65353,2.91368,0.73985,4.27475,3.53430,0.74046,621.2
26,3.60358,2.86283,0.74075,4.26282,3.52141,0.74141,609.1
27,3.60206,2.86039,0.74167,4.33512,3.59115,0.74397,606.3
28,3.56887,2.82750,0.74136,4.25997,3.52017,0.73980,607.0
29,3.56651,2.82540,0.74111,4.27076,3.53165,0.73911,602.7
