epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
0,3.61122,0.00000,3.61122,2.22864,0.00000,2.22864,19.8
1,2.37635,0.00000,2.37635,1.96546,0.00000,1.96546,19.1
2,2.01253,0.00000,2.01253,1.78055,0.00000,1.78055,18.8
3,1.84449,0.00000,1.84449,1.72762,0.00000,1.72762,19.4
4,1.78731,0.00000,1.78731,1.70649,0.00000,1.70649,19.4
5,1.76695,0.00000,1.76695,1.68916,0.00000,1.68916,18.8
6,1.74664,0.00000,1.74664,1.69457,0.00000,1.69457,19.1
7,1.74228,0.00000,1.74228,1.68399,0.00000,1.68399,19.3
8,1.73878,0.00000,1.73878,1.68292,0.00000,1.68292,19.0
9,1.72510,0.00000,1.72510,1.67095,0.00000,1.67095,18.7
10,1.71715,0.00000,1.71715,1.66505,0.00000,1.66505,18.9
11,1.70934,0.00000,1.70934,1.66058,0.00000,1.66058,18.8
12,1.70268,0.00000,1.70268,1.64910,0.00000,1.64910,19.4
13,1.68984,0.00000,1.68984,1.65321,0.00000,1.65321,19.4
14,1.68706,0.00000,1.68706,1.64146,0.00000,1.64146,19.2
15,1.67981,0.00000,1.67981,1.66739,0.00000,1.66739,19.5
16,1.67941,0.00000,1.67941,1.64709,0.00000,1.64709,19.4
17,1.66377,0.00000,1.66377,1.63655,0.00000,1.63655,18.5
18,1.65216,0.00000,1.65216,1.67524,0.00000,1.67524,18.4
19,1.65048,0.00000,1.65048,1.65375,0.00000,1.65375,19.5
20,1.65502,0.00000,1.65502,1.63615,0.00000,1.63615,18.6
21,1.64278,0.00000,1.64278,1.62465,0.00000,1.62465,19.4
22,1.63028,0.00000,1.63028,1.66233,0.00000,1.66233,19.1
23,1.62226,0.00000,1.62226,1.59039,0.00000,1.59039,19.7
24,1.62124,0.00000,1.62124,1.60710,0.00000,1.60710,19.1
25,1.61485,0.00000,1.61485,1.61408,0.00000,1.61408,19.4
26,1.62001,0.00000,1.62001,1.57276,0.00000,1.57276,19.2
27,1.61078,0.00000,1.61078,1.60054,0.00000,1.60054,19.3
28,1.60472,0.00000,1.60472,1.60572,0.00000,1.60572,19.1
29,1.60695,0.00000,1.60695,1.57907,0.00000,1.57907,19.5
30,1.59782,0.00000,1.59782,1.57053,0.00000,1.57053,18.9
31,1.59645,0.00000,1.59645,1.63643,0.00000,1.63643,19.0
32,1.59770,0.00000,1.59770,1.56829,0.00000,1.56829,19.6
33,1.59484,0.00000,1.59484,1.55855,0.00000,1.55855,19.4
34,1.57926,0.00000,1.57926,1.56315,0.00000,1.56315,19.0
35,1.57652,0.00000,1.57652,1.62162,0.00000,1.62162,19.2
36,1.57344,0.00000,1.57344,1.59067,0.00000,1.59067,19.1
37,1.57113,0.00000,1.57113,1.53769,0.00000,1.53769,19.1
38,1.56034,0.00000,1.56034,1.52599,0.00000,1.52599,19.0
39,1.54870,0.00000,1.54870,1.53360,0.00000,1.53360,18.9
40,1.54137,0.00000,1.54137,1.56271,0.00000,1.56271,19.3
41,1.54351,0.00000,1.54351,1.56937,0.00000,1.56937,19.3
42,1.55263,0.00000,1.55263,1.61807,0.00000,1.61807,18.7
43,1.55353,0.00000,1.55353,1.51436,0.00000,1.51436,18.6
44,1.53715,0.00000,1.53715,1.53396,0.00000,1.53396,19.4
45,1.52260,0.00000,1.52260,1.52722,0.00000,1.52722,19.1
46,1.52471,0.00000,1.52471,1.48185,0.00000,1.48185,19.4
47,1.50786,0.00000,1.50786,1.48393,0.00000,1.48393,18.8
48,1.49933,0.00000,1.49933,1.47508,0.00000,1.47508,19.1
49,1.49534,0.00000,1.49534,1.50518,0.00000,1.50518,19.5
50,1.49681,0.00000,1.49681,1.47815,0.00000,1.47815,18.4
51,1.49685,0.00000,1.49685,1.46322,0.00000,1.46322,18.9
52,1.48526,0.00000,1.48526,1.46850,0.00000,1.46850,19.5
53,1.48402,0.00000,1.48402,1.46227,0.00000,1.46227,18.8
54,1.48804,0.00000,1.48804,1.52159,0.00000,1.52159,19.0
55,1.49558,0.00000,1.49558,1.48488,0.00000,1.48488,18.8
56,1.47775,0.00000,1.47775,1.43384,0.00000,1.43384,19.0
57,1.46830,0.00000,1.46830,1.44427,0.00000,1.44427,19.2
58,1.47198,0.00000,1.47198,1.49531,0.00000,1.49531,19.6
59,1.47527,0.00000,1.47527,1.44164,0.00000,1.44164,18.1
60,1.47215,0.00000,1.47215,1.45337,0.00000,1.45337,18.7
61,1.46633,0.00000,1.46633,1.47307,0.00000,1.47307,18.9
62,1.46421,0.00000,1.46421,1.43918,0.00000,1.43918,19.2
63,1.46234,0.00000,1.46234,1.43631,0.00000,1.43631,19.2
64,1.45406,0.00000,1.45406,1.44762,0.00000,1.44762,19.0
65,1.44862,0.00000,1.44862,1.44853,0.00000,1.44853,19.9
66,1.44873,0.00000,1.44873,1.43057,0.00000,1.43057,19.3
67,1.44696,0.00000,1.44696,1.41992,0.00000,1.41992,19.0
68,1.43360,0.00000,1.43360,1.42738,0.00000,1.42738,19.1
69,1.43204,0.00000,1.43204,1.41806,0.00000,1.41806,18.4
70,1.42846,0.00000,1.42846,1.43009,0.00000,1.43009,19.0
71,1.42861,0.00000,1.42861,1.40837,0.00000,1.40837,18.2
72,1.42977,0.00000,1.42977,1.41954,0.00000,1.41954,19.1
73,1.42755,0.00000,1.42755,1.43327,0.00000,1.43327,19.3
74,1.43682,0.00000,1.43682,1.43229,0.00000,1.43229,18.8
75,1.42684,0.00000,1.42684,1.41285,0.00000,1.41285,19.6
