epoch,train_loss,train_rmsd,train_mdn,val_loss,val_rmsd,val_mdn,seconds
0,5.21940,4.13208,1.08732,4.25328,3.29084,0.96244,83.8
1,4.90054,3.82168,1.07886,4.28808,3.33303,0.95505,84.2
2,4.69657,3.62127,1.07531,4.06165,3.10750,0.95415,82.9
3,4.43604,3.37433,1.06171,4.00428,3.05960,0.94468,83.4
4,4.31446,3.25114,1.06332,4.06562,3.11683,0.94878,83.2
5,4.29059,3.23402,1.05657,3.91116,2.96714,0.94402,83.1
6,4.29102,3.23768,1.05334,3.93108,2.98726,0.94382,82.5
7,4.13504,3.08314,1.05189,3.86937,2.92792,0.94145,83.7
8,4.13431,3.08430,1.05001,3.67250,2.73419,0.93832,83.5
9,4.06383,3.01894,1.04489,3.88931,2.94924,0.94007,83.4
10,4.05138,3.00990,1.04148,3.69780,2.75934,0.93846,82.9
11,4.01425,2.97257,1.04168,3.79084,2.85817,0.93267,83.8
12,3.89003,2.85473,1.03530,4.00778,3.07792,0.92987,83.2
13,3.90370,2.87096,1.03274,3.95656,3.02532,0.93124,83.0
14,3.78939,2.75955,1.02984,3.78988,2.85832,0.93157,83.0
15,3.90606,2.87513,1.03093,3.95562,3.02518,0.93045,82.8
16,3.80390,2.77406,1.02984,3.84975,2.92264,0.92711,83.1
17,3.85705,2.83628,1.02077,3.71038,2.78086,0.92952,83.1
18,3.89471,2.87175,1.02296,3.69017,2.76901,0.92116,83.4
19,3.71971,2.69828,1.02143,3.72878,2.80523,0.92355,82.5
20,3.75280,2.72886,1.02394,3.67272,2.74739,0.92533,81.9
21,3.67005,2.64950,1.02055,3.58790,2.66808,0.91983,82.7
22,3.71141,2.70074,1.01067,3.66460,2.74730,0.91731,87.7
23,3.66792,2.65606,1.01186,3.81770,2.89592,0.92177,82.6
24,3.66532,2.65868,1.00664,3.87382,2.95745,0.91637,83.0
25,3.61992,2.61816,1.00176,3.66499,2.75372,0.91127,82.8
26,3.58627,2.57763,1.00864,3.77121,2.85934,0.91186,83.0
27,3.57442,2.56968,1.00475,3.64189,2.72977,0.91212,82.9
28,3.71101,2.69996,1.01105,3.66117,2.75042,0.91075,83.0
29,3.56217,2.55744,1.00472,3.61802,2.70491,0.91311,82.9
30,3.50841,2.50798,1.00043,3.64699,2.73360,0.91339,83.1
31,3.54114,2.53856,1.00258,3.82265,2.91054,0.91212,83.1
32,3.51356,2.51219,1.00138,3.61255,2.70367,0.90888,83.1
33,3.53255,2.53522,0.99733,3.79048,2.87932,0.91115,82.6
34,3.40931,2.41455,0.99475,3.57129,2.65976,0.91153,82.0
35,3.55606,2.56790,0.98816,3.61853,2.71439,0.90414,82.2
36,3.43863,2.45146,0.98716,3.69701,2.78905,0.90796,82.8
37,3.53704,2.54212,0.99492,3.48925,2.58530,0.90396,82.9
38,3.40483,2.41231,0.99251,3.92145,3.01864,0.90281,88.0
39,3.46365,2.47986,0.98379,3.60598,2.70653,0.89945,82.6
40,3.44606,2.45596,0.99010,3.48926,2.58958,0.89968,87.9
41,3.38477,2.40366,0.98111,3.88620,2.98312,0.90308,84.9
42,3.34529,2.36765,0.97764,3.69114,2.79197,0.89917,82.1
43,3.35498,2.37973,0.97525,3.83418,2.93051,0.90367,82.2
44,3.33203,2.35128,0.98075,3.80348,2.90518,0.89830,82.5
45,3.32648,2.34949,0.97699,3.73861,2.84264,0.89596,83.3
46,3.37287,2.40064,0.97223,3.76831,2.87468,0.89363,82.9
47,3.36653,2.39089,0.97564,3.85595,2.96579,0.89016,83.1
48,3.25942,2.28863,0.97079,3.69836,2.80588,0.89248,82.4
49,3.28739,2.31858,0.96881,3.71869,2.82171,0.89697,82.9
50,3.24945,2.28202,0.96743,3.89520,3.00129,0.89391,82.2
51,3.35900,2.38475,0.97424,3.70508,2.81136,0.89372,82.6
52,3.23211,2.26213,0.96998,3.58492,2.69977,0.88515,83.0
53,3.20491,2.24150,0.96341,3.76310,2.87661,0.88649,82.9
54,3.18985,2.22917,0.96068,3.71118,2.82667,0.88451,83.3
55,3.21156,2.24911,0.96245,3.62357,2.73767,0.88590,84.5
56,3.24291,2.28650,0.95641,3.49058,2.60905,0.88153,87.6
57,3.29043,2.32845,0.96198,3.64411,2.75610,0.88801,83.5
58,3.16152,2.20074,0.96078,3.58061,2.69592,0.88468,83.2
59,3.15185,2.18983,0.96202,3.75556,2.87257,0.88298,82.0
60,3.20439,2.24159,0.96280,3.61948,2.73478,0.88470,82.1
61,3.23247,2.27532,0.95715,3.76922,2.88981,0.87941,82.8
62,3.21316,2.25608,0.95708,3.71207,2.83423,0.87785,83.3
63,3.11175,2.16181,0.94994,3.62464,2.74729,0.87734,83.7
64,3.11885,2.16907,0.94978,3.57273,2.69708,0.87565,83.7
65,3.22420,2.27605,0.94815,3.57587,2.69923,0.87664,83.3
66,3.14364,2.19906,0.94458,3.57100,2.69190,0.87909,82.7
67,3.13950,2.19318,0.94632,3.59316,2.71570,0.87746,82.1
