complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
3ix2_AC2_A_302,proto_test,1,0.6861,True,True,3ix2_AC2_A_302_ligand_refined.sdf,3ix2_AC2_A_302_protein_refined.pdb
3ix2_AC2_B_302,proto_test,1,0.9746,True,True,3ix2_AC2_B_302_ligand_refined.sdf,3ix2_AC2_B_302_protein_refined.pdb
3ix2_AC2_C_302,proto_test,1,0.5588,True,True,3ix2_AC2_C_302_ligand_refined.sdf,3ix2_AC2_C_302_protein_refined.pdb
4jdf_SPD_A_401,proto_test,1,0.8747,True,True,4jdf_SPD_A_401_ligand_refined.sdf,4jdf_SPD_A_401_protein_refined.pdb
5qtv_QLS_A_301,proto_test,1,0.7879,True,True,5qtv_QLS_A_301_ligand_refined.sdf,5qtv_QLS_A_301_protein_refined.pdb
5qtw_QLM_A_301,proto_test,1,0.7141,True,True,5qtw_QLM_A_301_ligand_refined.sdf,5qtw_QLM_A_301_protein_refined.pdb
5qtx_QLD_A_301,proto_test,1,1.2765,True,False,5qtx_QLD_A_301_ligand_refined.sdf,5qtx_QLD_A_301_protein_refined.pdb
5qty_QLJ_A_301,proto_test,1,1.1789,True,False,5qty_QLJ_A_301_ligand_refined.sdf,5qty_QLJ_A_301_protein_refined.pdb
5qtz_QMY_A_601,proto_test,1,0.7015,True,True,5qtz_QMY_A_601_ligand_refined.sdf,5qtz_QMY_A_601_protein_refined.pdb
5qu0_QMV_A_601,proto_test,1,2.6726,False,False,5qu0_QMV_A_601_ligand_refined.sdf,5qu0_QMV_A_601_protein_refined.pdb
5qur_LZ1_A_401,proto_test,1,0.0351,True,True,5qur_LZ1_A_401_ligand_refined.sdf,5qur_LZ1_A_401_protein_refined.pdb
5qus_LZ1_A_401,proto_test,1,0.0279,True,True,5qus_LZ1_A_401_ligand_refined.sdf,5qus_LZ1_A_401_protein_refined.pdb
5qut_LZ1_A_401,proto_test,1,0.0368,True,True,5qut_LZ1_A_401_ligand_refined.sdf,5qut_LZ1_A_401_protein_refined.pdb
5ree_T1M_A_404,proto_test,1,1.5121,True,False,5ree_T1M_A_404_ligand_refined.sdf,5ree_T1M_A_404_protein_refined.pdb
5rfa_JGY_A_403,proto_test,1,1.4858,True,False,5rfa_JGY_A_403_ligand_refined.sdf,5rfa_JGY_A_403_protein_refined.pdb
5rgv_UGG_A_1001,proto_test,1,0.9839,True,True,5rgv_UGG_A_1001_ligand_refined.sdf,5rgv_UGG_A_1001_protein_refined.pdb
5rgx_UGP_A_1001,proto_test,1,1.8736,True,False,5rgx_UGP_A_1001_ligand_refined.sdf,5rgx_UGP_A_1001_protein_refined.pdb
5rh2_UH7_A_1001,proto_test,1,1.4021,True,False,5rh2_UH7_A_1001_ligand_refined.sdf,5rh2_UH7_A_1001_protein_refined.pdb
5rh3_UHA_A_1001,proto_test,1,1.4973,True,False,5rh3_UHA_A_1001_ligand_refined.sdf,5rh3_UHA_A_1001_protein_refined.pdb
5rhd_US7_A_408,proto_test,1,1.1336,True,False,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,1.6756,True,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,1.5958,True,False,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,3.9274,False,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,1.5493,True,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,3.134,False,False,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
5s76_LU8_B_501,proto_test,1,1.4984,True,False,5s76_LU8_B_501_ligand_refined.sdf,5s76_LU8_B_501_protein_refined.pdb
5s76_LU8_A_501,proto_test,1,1.6249,True,False,5s76_LU8_A_501_ligand_refined.sdf,5s76_LU8_A_501_protein_refined.pdb
5s76_LU8_A_507,proto_test,1,1.3139,True,False,5s76_LU8_A_507_ligand_refined.sdf,5s76_LU8_A_507_protein_refined.pdb
5s77_LU8_A_501,proto_test,1,1.3751,True,False,5s77_LU8_A_501_ligand_refined.sdf,5s77_LU8_A_501_protein_refined.pdb
5s77_LU8_A_509,proto_test,1,2.8322,False,False,5s77_LU8_A_509_ligand_refined.sdf,5s77_LU8_A_509_protein_refined.pdb
5s77_LU8_A_508,proto_test,1,1.975,True,False,5s77_LU8_A_508_ligand_refined.sdf,5s77_LU8_A_508_protein_refined.pdb
5s77_LU8_B_501,proto_test,1,2.77,False,False,5s77_LU8_B_501_ligand_refined.sdf,5s77_LU8_B_501_protein_refined.pdb
5s78_LU8_A_501,proto_test,1,1.2219,True,False,5s78_LU8_A_501_ligand_refined.sdf,5s78_LU8_A_501_protein_refined.pdb
5s78_LU8_A_506,proto_test,1,1.5232,True,False,5s78_LU8_A_506_ligand_refined.sdf,5s78_LU8_A_506_protein_refined.pdb
5s78_LU8_B_501,proto_test,1,1.4598,True,False,5s78_LU8_B_501_ligand_refined.sdf,5s78_LU8_B_501_protein_refined.pdb
5s79_LU8_A_501,proto_test,1,1.0656,True,False,5s79_LU8_A_501_ligand_refined.sdf,5s79_LU8_A_501_protein_refined.pdb
5s79_LU8_A_507,proto_test,1,1.8476,True,False,5s79_LU8_A_507_ligand_refined.sdf,5s79_LU8_A_507_protein_refined.pdb
