complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
3ix2_AC2_A_302,proto_test,1,1.2277,True,False,3ix2_AC2_A_302_ligand_refined.sdf,3ix2_AC2_A_302_protein_refined.pdb
3ix2_AC2_B_302,proto_test,1,1.4531,True,False,3ix2_AC2_B_302_ligand_refined.sdf,3ix2_AC2_B_302_protein_refined.pdb
3ix2_AC2_C_302,proto_test,1,2.0261,False,False,3ix2_AC2_C_302_ligand_refined.sdf,3ix2_AC2_C_302_protein_refined.pdb
4jdf_SPD_A_401,proto_test,1,2.7121,False,False,4jdf_SPD_A_401_ligand_refined.sdf,4jdf_SPD_A_401_protein_refined.pdb
5qtv_QLS_A_301,proto_test,1,4.1176,False,False,5qtv_QLS_A_301_ligand_refined.sdf,5qtv_QLS_A_301_protein_refined.pdb
5qtw_QLM_A_301,proto_test,1,4.5736,False,False,5qtw_QLM_A_301_ligand_refined.sdf,5qtw_QLM_A_301_protein_refined.pdb
5qtx_QLD_A_301,proto_test,1,4.2511,False,False,5qtx_QLD_A_301_ligand_refined.sdf,5qtx_QLD_A_301_protein_refined.pdb
5qty_QLJ_A_301,proto_test,1,2.2318,False,False,5qty_QLJ_A_301_ligand_refined.sdf,5qty_QLJ_A_301_protein_refined.pdb
5qtz_QMY_A_601,proto_test,1,1.9543,True,False,5qtz_QMY_A_601_ligand_refined.sdf,5qtz_QMY_A_601_protein_refined.pdb
5qu0_QMV_A_601,proto_test,1,0.5408,True,True,5qu0_QMV_A_601_ligand_refined.sdf,5qu0_QMV_A_601_protein_refined.pdb
5qur_LZ1_A_401,proto_test,1,0.0178,True,True,5qur_LZ1_A_401_ligand_refined.sdf,5qur_LZ1_A_401_protein_refined.pdb
5qus_LZ1_A_401,proto_test,1,0.018,True,True,5qus_LZ1_A_401_ligand_refined.sdf,5qus_LZ1_A_401_protein_refined.pdb
5qut_LZ1_A_401,proto_test,1,0.0178,True,True,5qut_LZ1_A_401_ligand_refined.sdf,5qut_LZ1_A_401_protein_refined.pdb
5ree_T1M_A_404,proto_test,1,0.9717,True,True,5ree_T1M_A_404_ligand_refined.sdf,5ree_T1M_A_404_protein_refined.pdb
5rfa_JGY_A_403,proto_test,1,2.0658,False,False,5rfa_JGY_A_403_ligand_refined.sdf,5rfa_JGY_A_403_protein_refined.pdb
5rgv_UGG_A_1001,proto_test,1,1.2838,True,False,5rgv_UGG_A_1001_ligand_refined.sdf,5rgv_UGG_A_1001_protein_refined.pdb
5rgx_UGP_A_1001,proto_test,1,1.7211,True,False,5rgx_UGP_A_1001_ligand_refined.sdf,5rgx_UGP_A_1001_protein_refined.pdb
5rh2_UH7_A_1001,proto_test,1,3.0095,False,False,5rh2_UH7_A_1001_ligand_refined.sdf,5rh2_UH7_A_1001_protein_refined.pdb
5rh3_UHA_A_1001,proto_test,1,1.9765,True,False,5rh3_UHA_A_1001_ligand_refined.sdf,5rh3_UHA_A_1001_protein_refined.pdb
5rhd_US7_A_408,proto_test,1,0.5688,True,True,5rhd_US7_A_408_ligand_refined.sdf,5rhd_US7_A_408_protein_refined.pdb
5s75_LU8_B_501,proto_test,1,1.1626,True,False,5s75_LU8_B_501_ligand_refined.sdf,5s75_LU8_B_501_protein_refined.pdb
5s75_LU8_A_508,proto_test,1,0.8357,True,True,5s75_LU8_A_508_ligand_refined.sdf,5s75_LU8_A_508_protein_refined.pdb
5s75_LU8_A_509,proto_test,1,1.0324,True,False,5s75_LU8_A_509_ligand_refined.sdf,5s75_LU8_A_509_protein_refined.pdb
5s75_LU8_A_501,proto_test,1,1.2739,True,False,5s75_LU8_A_501_ligand_refined.sdf,5s75_LU8_A_501_protein_refined.pdb
5s76_LU8_A_508,proto_test,1,0.9612,True,True,5s76_LU8_A_508_ligand_refined.sdf,5s76_LU8_A_508_protein_refined.pdb
5s76_LU8_B_501,proto_test,1,1.0302,True,False,5s76_LU8_B_501_ligand_refined.sdf,5s76_LU8_B_501_protein_refined.pdb
5s76_LU8_A_501,proto_test,1,0.9482,True,True,5s76_LU8_A_501_ligand_refined.sdf,5s76_LU8_A_501_protein_refined.pdb
5s76_LU8_A_507,proto_test,1,1.28,True,False,5s76_LU8_A_507_ligand_refined.sdf,5s76_LU8_A_507_protein_refined.pdb
5s77_LU8_A_501,proto_test,1,1.4464,True,False,5s77_LU8_A_501_ligand_refined.sdf,5s77_LU8_A_501_protein_refined.pdb
5s77_LU8_A_509,proto_test,1,0.9796,True,True,5s77_LU8_A_509_ligand_refined.sdf,5s77_LU8_A_509_protein_refined.pdb
5s77_LU8_A_508,proto_test,1,1.0464,True,False,5s77_LU8_A_508_ligand_refined.sdf,5s77_LU8_A_508_protein_refined.pdb
5s77_LU8_B_501,proto_test,1,1.029,True,False,5s77_LU8_B_501_ligand_refined.sdf,5s77_LU8_B_501_protein_refined.pdb
5s78_LU8_A_501,proto_test,1,0.778,True,True,5s78_LU8_A_501_ligand_refined.sdf,5s78_LU8_A_501_protein_refined.pdb
5s78_LU8_A_506,proto_test,1,1.5956,True,False,5s78_LU8_A_506_ligand_refined.sdf,5s78_LU8_A_506_protein_refined.pdb
5s78_LU8_B_501,proto_test,1,1.0161,True,False,5s78_LU8_B_501_ligand_refined.sdf,5s78_LU8_B_501_protein_refined.pdb
5s79_LU8_A_501,proto_test,1,1.5021,True,False,5s79_LU8_A_501_ligand_refined.sdf,5s79_LU8_A_501_protein_refined.pdb
5s79_LU8_A_507,proto_test,1,0.9521,True,True,5s79_LU8_A_507_ligand_refined.sdf,5s79_LU8_A_507_protein_refined.pdb
5s79_LU8_B_501,proto_test,1,1.1022,True,False,5s79_LU8_B_501_ligand_refined.sdf,5s79_LU8_B_501_protein_refined.pdb
5s7a_LU8_A_507,proto_test,1,1.0622,True,False,5s7a_LU8_A_507_ligand_refined.sdf,5s7a_LU8_A_507_protein_refined.pdb
5s7a_LU8_A_501,proto_test,1,0.8769,True,True,5s7a_LU8_A_501_ligand_refined.sdf,5s7a_LU8_A_501_protein_refined.pdb
5s7a_LU8_A_508,proto_test,1,0.8115,True,True,5s7a_LU8_A_508_ligand_refined.sdf,5s7a_LU8_A_508_protein_refined.pdb
5s7a_LU8_B_501,proto_test,1,1.3638,True,False,5s7a_LU8_B_501_ligand_refined.sdf,5s7a_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_507,proto_test,1,1.2254,True,False,5s7b_LU8_A_507_ligand_refined.sdf,5s7b_LU8_A_507_protein_refined.pdb
5s7b_LU8_B_501,proto_test,1,0.9273,True,True,5s7b_LU8_B_501_ligand_refined.sdf,5s7b_LU8_B_501_protein_refined.pdb
5s7b_LU8_A_508,proto_test,1,1.0748,True,False,5s7b_LU8_A_508_ligand_refined.sdf,5s7b_LU8_A_508_protein_refined.pdb
5s7b_LU8_A_501,proto_test,1,1.0966,True,False,5s7b_LU8_A_501_ligand_refined.sdf,5s7b_LU8_A_501_protein_refined.pdb
5s7c_LU8_A_501,proto_test,1,1.319,True,False,5s7c_LU8_A_501_ligand_refined.sdf,5s7c_LU8_A_501_protein_refined.pdb
5s7c_LU8_B_501,proto_test,1,1.4761,True,False,5s7c_LU8_B_501_ligand_refined.sdf,5s7c_LU8_B_501_protein_refined.pdb
5s7c_LU8_A_507,proto_test,1,1.6178,True,False,5s7c_LU8_A_507_ligand_refined.sdf,5s7c_LU8_A_507_protein_refined.pdb
5s7d_LU8_A_501,proto_test,1,0.9501,True,True,5s7d_LU8_A_501_ligand_refined.sdf,5s7d_LU8_A_501_protein_refined.pdb
5s7d_LU8_A_509,proto_test,1,1.2543,True,False,5s7d_LU8_A_509_ligand_refined.sdf,5s7d_LU8_A_509_protein_refined.pdb
5s7d_LU8_A_508,proto_test,1,1.3833,True,False,5s7d_LU8_A_508_ligand_refined.sdf,5s7d_LU8_A_508_protein_refined.pdb
5s7d_LU8_B_501,proto_test,1,0.9834,True,True,5s7d_LU8_B_501_ligand_refined.sdf,5s7d_LU8_B_501_protein_refined.pdb
5s7e_LU8_B_501,proto_test,1,1.1659,True,False,5s7e_LU8_B_501_ligand_refined.sdf,5s7e_LU8_B_501_protein_refined.pdb
5s7e_LU8_A_501,proto_test,1,1.5349,True,False,5s7e_LU8_A_501_ligand_refined.sdf,5s7e_LU8_A_501_protein_refined.pdb
5s7f_LU8_A_508,proto_test,1,1.1091,True,False,5s7f_LU8_A_508_ligand_refined.sdf,5s7f_LU8_A_508_protein_refined.pdb
5s7f_LU8_A_509,proto_test,1,0.8665,True,True,5s7f_LU8_A_509_ligand_refined.sdf,5s7f_LU8_A_509_protein_refined.pdb
5s7f_LU8_A_501,proto_test,1,1.5378,True,False,5s7f_LU8_A_501_ligand_refined.sdf,5s7f_LU8_A_501_protein_refined.pdb
5s7f_LU8_B_501,proto_test,1,1.4176,True,False,5s7f_LU8_B_501_ligand_refined.sdf,5s7f_LU8_B_501_protein_refined.pdb
5s7g_LU8_A_501,proto_test,1,1.4091,True,False,5s7g_LU8_A_501_ligand_refined.sdf,5s7g_LU8_A_501_protein_refined.pdb
5s7g_LU8_B_501,proto_test,1,0.8809,True,True,5s7g_LU8_B_501_ligand_refined.sdf,5s7g_LU8_B_501_protein_refined.pdb
5s7h_LU8_B_501,proto_test,1,0.8215,True,True,5s7h_LU8_B_501_ligand_refined.sdf,5s7h_LU8_B_501_protein_refined.pdb
5s7h_LU8_A_507,proto_test,1,0.994,True,True,5s7h_LU8_A_507_ligand_refined.sdf,5s7h_LU8_A_507_protein_refined.pdb
5s7h_LU8_A_501,proto_test,1,1.0249,True,False,5s7h_LU8_A_501_ligand_refined.sdf,5s7h_LU8_A_501_protein_refined.pdb
5s7h_LU8_A_508,proto_test,1,1.1183,True,False,5s7h_LU8_A_508_ligand_refined.sdf,5s7h_LU8_A_508_protein_refined.pdb
